datetime,anomaly_count,label_issue_count,price_issue_count,max_abs_label_5d
2024-10-10,875,875,32,9918.278
2024-09-27,32,8,32,0.999909
2024-04-29,29,21,29,0.1851852
2024-04-23,25,24,25,0.008771896
2024-04-30,21,1,21,0.18734801
2024-12-25,19,15,19,0.21518993
2024-12-30,18,15,18,0.29411763
2024-04-26,17,12,17,0.21472394
2024-12-27,17,16,17,0.19
2024-12-24,17,17,17,
2024-12-31,16,15,16,0.20066887
2024-11-04,15,13,15,0.46458924
2024-11-12,15,14,15,0.18458778
2024-11-11,15,14,15,0.106630266
2024-12-18,15,15,15,
2024-12-23,15,15,15,
2024-12-26,15,15,15,
2024-11-05,14,12,14,0.14330459
2024-10-28,14,13,14,0.13257581
2024-11-14,13,10,13,0.4657097
2024-10-31,13,12,13,0.4638933
2024-12-17,13,12,13,0.18509
2024-11-07,13,11,13,0.10266942
2024-04-22,13,12,13,0.09941518
2024-12-20,13,12,13,0.021897852
2024-10-30,13,12,13,0.020749688
2024-11-06,13,13,13,
2024-11-13,13,13,13,
2024-11-27,13,13,13,
2024-11-15,12,11,12,0.46493506
2024-12-19,12,11,12,0.29976302
2024-11-19,12,10,12,0.18166238
2024-12-12,12,11,12,0.14269143
2024-11-21,12,11,12,0.11904758
2024-11-28,12,9,12,0.118617
2024-11-01,12,10,12,0.089686036
2024-12-04,12,10,12,0.06955534
2024-12-06,12,11,12,0.034229815
2024-10-25,12,12,12,
2024-10-29,12,12,12,
2024-11-18,12,12,12,
2024-12-03,12,12,12,
2024-12-16,12,12,12,
2024-12-10,11,10,11,0.46612465
2024-11-20,11,10,11,0.1472081
2024-12-13,11,9,11,0.02242148
2024-12-02,11,11,11,
2024-12-05,11,11,11,
2024-12-11,11,11,11,
2024-10-14,10,8,10,0.4624846
2024-10-23,10,9,10,0.3960886
2024-09-09,10,9,10,0.2699387
2024-12-09,10,9,10,0.11455107
2024-11-08,10,9,10,0.10532403
2024-04-25,10,9,10,0.018518507
2024-04-19,10,10,10,
2024-11-26,10,10,10,
2024-11-29,10,10,10,
2024-06-07,9,6,9,0.18060201
2024-09-02,9,8,9,0.040772557
2024-11-22,9,8,9,0.0047528744
2024-10-08,9,9,9,
2024-10-24,9,9,9,
2024-11-25,9,9,9,
2024-10-15,8,6,8,0.46451616
2024-10-09,8,7,8,0.14904141
2024-08-30,8,7,8,0.089108884
2024-09-04,8,7,8,0.06747782
2024-06-03,8,8,8,
2024-09-03,8,8,8,
2024-09-30,8,8,8,
2024-10-11,8,8,8,
2024-10-22,8,8,8,
2024-07-25,7,5,7,0.46629834
2024-09-24,7,6,7,0.46473777
2024-10-16,7,6,7,0.4642179
2024-09-18,7,3,7,0.18650794
2024-06-11,7,3,7,0.12962967
2024-09-05,7,5,7,0.087499976
2024-06-24,7,7,7,
2024-08-29,7,7,7,
2024-09-13,7,7,7,
2024-09-25,7,7,7,
2024-09-26,7,7,7,
2024-10-21,7,7,7,
2024-10-18,6,4,6,0.46666658
2024-09-10,6,4,6,0.46167254
2024-09-23,6,5,6,0.3462783
2024-07-31,6,5,6,0.1349557
2024-06-25,6,1,6,0.113095224
2024-04-24,6,5,6,0.09868419
2024-06-18,6,5,6,0.091493785
2024-07-18,6,5,6,0.08445042
2024-09-06,6,5,6,0.055499554
2024-07-17,6,5,6,0.030434728
2024-08-28,6,6,6,
2024-10-17,6,6,6,
2024-05-13,5,4,5,0.18641812
2024-07-05,5,4,5,0.14989734
2024-06-04,5,3,5,0.13428575
2024-08-01,5,3,5,0.13109756
2024-05-28,5,4,5,0.10215056
2024-05-31,5,4,5,0.099999964
2024-07-01,5,4,5,0.09619236
2024-01-12,5,3,5,0.045082033
2024-07-23,5,4,5,0.037433207
2024-07-29,5,4,5,0.026666641
2024-01-05,5,5,5,
2024-03-22,5,5,5,
2024-07-22,5,5,5,
2024-07-24,5,5,5,
2024-07-26,5,5,5,
2024-08-26,5,5,5,
2024-08-27,5,5,5,
2024-09-11,5,5,5,
2024-05-20,4,2,4,0.19306934
2024-07-08,4,2,4,0.18352062
2024-03-28,4,3,4,0.16489369
2024-01-04,4,3,4,0.12514758
2024-08-02,4,3,4,0.10587472
2024-01-09,4,3,4,0.096463025
2024-06-20,4,3,4,0.08494204
2024-06-12,4,2,4,0.073275924
2024-05-30,4,3,4,0.064814866
2024-05-08,4,2,4,0.060606062
2024-09-20,4,3,4,0.052995324
2024-07-12,4,3,4,0.013043404
2024-07-02,4,3,4,0.0073313713
2024-03-18,4,2,4,0.0064516068
2024-01-02,4,4,4,
2024-01-03,4,4,4,
2024-01-08,4,4,4,
2024-01-11,4,4,4,
2024-03-15,4,4,4,
2024-03-21,4,4,4,
2024-04-16,4,4,4,
2024-04-17,4,4,4,
2024-04-18,4,4,4,
2024-06-05,4,4,4,
2024-06-06,4,4,4,
2024-07-16,4,4,4,
2024-07-19,4,4,4,
2024-07-30,4,4,4,
2024-08-22,4,4,4,
2024-08-23,4,4,4,
2024-09-12,4,4,4,
2024-09-19,4,4,4,
2024-01-15,3,2,3,0.46492994
2024-06-13,3,1,3,0.14143926
2024-08-05,3,2,3,0.13333333
2024-02-26,3,2,3,0.11743772
2024-03-29,3,1,3,0.108695686
2024-05-21,3,2,3,0.089529574
2024-07-09,3,1,3,0.030927777
2024-05-14,3,2,3,0.019982696
2024-03-05,3,2,3,0.009687901
2024-03-25,3,2,3,0.009591877
2024-01-10,3,3,3,
2024-02-23,3,3,3,
2024-02-28,3,3,3,
2024-02-29,3,3,3,
2024-03-01,3,3,3,
2024-03-04,3,3,3,
2024-03-11,3,3,3,
2024-03-13,3,3,3,
2024-03-14,3,3,3,
2024-03-19,3,3,3,
2024-03-20,3,3,3,
2024-03-27,3,3,3,
2024-04-15,3,3,3,
2024-05-07,3,3,3,
2024-05-17,3,3,3,
2024-05-23,3,3,3,
2024-05-24,3,3,3,
2024-05-27,3,3,3,
2024-05-29,3,3,3,
2024-06-26,3,3,3,
2024-06-28,3,3,3,
2024-07-10,3,3,3,
2024-07-11,3,3,3,
2024-07-15,3,3,3,
2024-08-16,3,3,3,
2024-08-21,3,3,3,
2024-04-08,2,1,2,0.29027116
2024-04-03,2,1,2,0.18421048
2024-03-07,2,1,2,0.17251194
2024-01-17,2,1,2,0.1708489
2024-06-17,2,1,2,0.15075374
2024-03-26,2,1,2,0.1280567
2024-08-19,2,1,2,0.09677416
2024-06-27,2,0,2,0.09523809
2024-05-15,2,1,2,0.09181142
2024-08-07,2,1,2,0.049586773
2024-07-03,2,1,2,0.042452812
2024-02-05,2,0,2,0.030952334
2024-01-16,2,2,2,
2024-01-26,2,2,2,
2024-01-29,2,2,2,
2024-02-01,2,2,2,
2024-02-02,2,2,2,
2024-02-19,2,2,2,
2024-02-21,2,2,2,
2024-02-22,2,2,2,
2024-02-27,2,2,2,
2024-03-06,2,2,2,
2024-03-08,2,2,2,
2024-03-12,2,2,2,
2024-04-02,2,2,2,
2024-04-10,2,2,2,
2024-04-11,2,2,2,
2024-04-12,2,2,2,
2024-05-06,2,2,2,
2024-05-09,2,2,2,
2024-05-10,2,2,2,
2024-05-22,2,2,2,
2024-06-14,2,2,2,
2024-07-04,2,2,2,
2024-08-06,2,2,2,
2024-08-12,2,2,2,
2024-08-20,2,2,2,
2024-05-16,1,0,1,0.18448025
2024-01-19,1,0,1,0.17924535
2024-06-21,1,0,1,0.1601615
2024-08-14,1,0,1,0.024193525
2024-01-18,1,1,1,
2024-01-23,1,1,1,
2024-01-24,1,1,1,
2024-01-25,1,1,1,
2024-01-30,1,1,1,
2024-01-31,1,1,1,
2024-02-08,1,1,1,
2024-02-20,1,1,1,
2024-04-01,1,1,1,
2024-04-09,1,1,1,
2024-06-19,1,1,1,
2024-08-08,1,1,1,
2024-08-09,1,1,1,
2024-08-13,1,1,1,
2024-08-15,1,1,1,
